year,Ash & Sludge,Construction Debris,Ferrous Metal,Food,Glass,Horticultural,Non-Ferrous Metal,Others,Paper/Cardboard,Plastics,Scrap Tyres,Textile/Leather,Used Slag,Wood
2003,88500,422900,856700,548000,65500,304600,93900,103800,1084700,579900,14400,91600,260300,213400
2004,93900,509000,720200,531100,73600,227000,86900,114100,1132100,683100,14700,114500,267200,222300
2005,98300,492500,818300,531500,62600,199500,89400,225200,1098600,674800,16800,89000,382400,239300
2006,126800,619000,725900,542700,63000,231000,86700,242300,1116300,656800,23900,91800,470600,223700
2007,124600,778300,736500,558900,65300,224600,92300,248600,1202900,659800,25500,110100,527200,246200
2008,114600,922000,784800,568000,57100,229300,85000,308300,1262500,684400,25100,93300,566200,269600
2009,88900,1175800,872000,606100,73100,238100,57600,270900,1201000,688900,22600,109100,422400,287600
2010,114400,921800,1194600,640500,79900,251000,85500,307400,1383900,740400,24000,120900,382700,270000
2011,152900,1203700,1239200,675500,72800,238800,117300,328400,1368200,733000,22000,131000,341600,273900
2012,160200,1291800,1386000,703200,74900,247800,122500,338400,1252000,803400,18400,159300,367800,343800
2013,190600,1695300,1416000,796000,73500,252600,135100,334800,1261100,832200,21600,156600,353700,332400
2014,148500,1269700,1445900,788600,79500,278300,118400,360100,1237400,869000,26200,158600,366300,367900
2015,196000,1411800,1348500,785500,75200,362000,180000,365000,1192200,824600,35500,156700,369900,370600
2016,227300,1595400,1357500,791000,72300,320500,97200,382500,1183100,822200,32700,150700,251100,530700
2017,243400,1609300,1378800,809800,71300,328300,93700,326400,1144800,815200,35900,150800,272500,424100
2018,240000,1624000,1269000,763000,64000,320000,171000,286000,1054000,949000,32000,220000,181000,521000
2019,252000,1440000,1278000,744000,75000,400000,126000,210000,1011000,930000,33000,168000,129000,438000
2020,228000,825000,934000,665000,66000,313000,75000,193000,1144000,868000,23000,137000,106000,304000
2021,249000,1013000,1312000,817000,74000,332000,88000,233000,1136000,982000,27000,189000,182000,310000
