year,Total Waste Recycled,Total Waste Generated,Total Waste Disposed,Nitrogen Dioxide,Particulate Matter 2.5,Ozone
2003,2223200,4728200,2510000,24,19,118
2004,2307100,4789700,2480000,26,21,146
2005,2469400,5018200,2550000,25,21,159
2006,2656900,5220500,2560000,24,23,136
2007,3034800,5600800,2570000,22,19,206
2008,3342600,5970200,2620000,22,16,183
2009,3485200,6114100,2630000,22,19,105
2010,3757500,6517000,2745000,23,17,139
2011,4038800,6898300,2860000,25,17,123
2012,4335600,7269500,2929999,25,19,122
2013,4825900,7851500,3020000,25,20,139
2014,4471100,7514500,3040000,24,18,135
2015,4649700,7673500,3020000,22,24,152
2016,4769000,7814200,3050000,26,15,115
2017,4724300,7704300,2980000,25,14,191
2018,4726000,7695000,2969999,26,15,150
2019,4247000,7234000,2990000,23,16,125
2020,3040000,5880000,2840000,20,11,145
2021,3826000,6944000,3120000,25,12,176
